"","id","stage","prueba","cuadrante_so","cuadrante_se","cuadrante_ne","cuadrante_no","zona_ne","zona_so","zona_blanco","cruces_blanco","cruces_ne","cruces_so","eficiencia_ne","eficiencia","eficiancia_so","latencia","distancia","velocidad","distancia_media_blanco","distancia_annulus_ne","distancia_annulus_so","tiempo","dia","tratamientos"
"280","CK_g1_4","entrenamiento_rev_2","Reversa_2",14.5,12.8,12.5,11.7,8.2,9.6,NA,NA,0,1,NA,0.033,0.033,51.4,11.972,0.233,NA,0.434,0.423,1.25,1,"Ket-CUMS"
"281","CK_g1_4","entrenamiento_rev_2","Reversa_2",5.3,4.2,4.5,1.2,3.1,4.4,NA,NA,0,1,NA,0.125,0.125,15.2,2.816,0.186,NA,0.41,0.402,1.5,1,"Ket-CUMS"
"282","CK_g1_4","entrenamiento_rev_2","Reversa_2",8.4,2.5,4.8,3.2,3.8,6.2,NA,NA,0,1,NA,0.239,0.239,19,3.296,0.174,NA,0.445,0.35,1.75,1,"Ket-CUMS"
"283","CK_g1_5","entrenamiento_rev_2","Reversa_2",4.9,0,0,1.8,0,4.6,NA,NA,0,1,NA,0.593,0.593,6.7,0.881,0.131,NA,0.597,0.202,1,1,"Ket-CUMS"
"284","CK_g1_5","entrenamiento_rev_2","Reversa_2",7.3,3.1,2.3,2,1.8,6.5,NA,NA,1,1,0.712,0.253,0.253,14.6,2.624,0.179,NA,0.467,0.326,1.25,1,"Ket-CUMS"
"285","CK_g1_5","entrenamiento_rev_2","Reversa_2",4.2,4.7,0.8,1.8,0,2.9,NA,NA,0,1,NA,0.246,0.246,11.6,1.812,0.157,NA,0.443,0.338,1.5,1,"Ket-CUMS"
"286","CK_g1_5","entrenamiento_rev_2","Reversa_2",3,1.8,1,0,0,2.9,NA,NA,0,1,NA,0.982,0.982,5.8,0.785,0.135,NA,0.463,0.417,1.75,1,"Ket-CUMS"
"287","CSK_g1_1","entrenamiento_rev_2","Reversa_2",3.7,0,0,2.4,0,3.5,NA,NA,0,2,NA,0.935,0.935,6.1,0.838,0.138,NA,0.527,0.317,1,1,"Sal-CUMS-K"
"288","CSK_g1_1","entrenamiento_rev_2","Reversa_2",6.4,2.6,1.2,2.5,0.3,5,NA,NA,0,1,NA,0.323,0.323,12.7,1.85,0.145,NA,0.505,0.337,1.25,1,"Sal-CUMS-K"
"289","CSK_g1_1","entrenamiento_rev_2","Reversa_2",3.2,0,0,0.6,0,2.9,NA,NA,0,1,NA,0.978,0.978,3.9,0.327,0.085,NA,0.628,0.146,1.5,1,"Sal-CUMS-K"
"290","CSK_g1_1","entrenamiento_rev_2","Reversa_2",14.5,12.2,11.8,10.3,4.2,11.2,NA,NA,1,2,0.022,0.373,0.373,48.8,9.91,0.203,NA,0.431,0.397,1.75,1,"Sal-CUMS-K"
"291","CSK_g1_2","entrenamiento_rev_2","Reversa_2",2.7,2.2,2.6,0,1.1,2.5,NA,NA,1,1,0.936,0.547,0.547,7.5,1.651,0.221,NA,0.43,0.556,1,1,"Sal-CUMS-K"
"292","CSK_g1_2","entrenamiento_rev_2","Reversa_2",12.1,11,9.2,3.7,3.9,9.4,NA,NA,2,1,0.583,0.052,0.052,35.9,7.723,0.215,NA,0.387,0.396,1.25,1,"Sal-CUMS-K"
"293","CSK_g1_2","entrenamiento_rev_2","Reversa_2",5.6,1.1,2.5,4.2,1.6,4.3,NA,NA,1,1,0.701,0.177,0.177,13.4,2.441,0.182,NA,0.487,0.382,1.5,1,"Sal-CUMS-K"
"294","CSK_g1_2","entrenamiento_rev_2","Reversa_2",8.5,5.2,3.8,2.2,2.6,5.3,NA,NA,0,1,NA,0.192,0.192,19.7,3.881,0.197,NA,0.403,0.349,1.75,1,"Sal-CUMS-K"
"295","CSK_g1_3","entrenamiento_rev_2","Reversa_2",6.7,4.6,0,3.4,0,4.8,NA,NA,0,1,NA,0.238,0.238,14.6,3.206,0.219,NA,0.557,0.324,1,1,"Sal-CUMS-K"
"296","CSK_g1_3","entrenamiento_rev_2","Reversa_2",5.9,2.8,1.6,0.7,0.9,4.3,NA,NA,0,1,NA,0.312,0.312,11,2.269,0.207,NA,0.509,0.328,1.25,1,"Sal-CUMS-K"
"297","CSK_g1_3","entrenamiento_rev_2","Reversa_2",5.2,0,0,2.2,0,3.9,NA,NA,0,1,NA,0.455,0.455,7.3,1.073,0.146,NA,0.612,0.212,1.5,1,"Sal-CUMS-K"
"298","CSK_g1_3","entrenamiento_rev_2","Reversa_2",6,0.3,2.6,0,0.8,5.4,NA,NA,0,1,NA,0.657,0.657,9,1.278,0.143,NA,0.473,0.331,1.75,1,"Sal-CUMS-K"
"299","CSK_g1_4","entrenamiento_rev_2","Reversa_2",4.6,0,1.3,1.5,0,4.2,NA,NA,0,1,NA,0.658,0.658,7.3,1.332,0.181,NA,0.54,0.36,1,1,"Sal-CUMS-K"
"300","CSK_g1_4","entrenamiento_rev_2","Reversa_2",2.5,2.5,0,0,0,2.5,NA,NA,0,1,NA,0.959,0.959,4.9,0.778,0.158,NA,0.539,0.606,1.25,1,"Sal-CUMS-K"
"301","CSK_g1_4","entrenamiento_rev_2","Reversa_2",5.9,2.2,3.8,5.6,2.6,4.2,NA,NA,0,1,NA,0.148,0.148,17.4,3.706,0.213,NA,0.476,0.368,1.5,1,"Sal-CUMS-K"
"302","CSK_g1_4","entrenamiento_rev_2","Reversa_2",4,2.7,0,0,0,3.2,NA,NA,0,1,NA,0.779,0.779,6.7,1.023,0.153,NA,0.48,0.378,1.75,1,"Sal-CUMS-K"
"303","CSK_g2_1","entrenamiento_rev_1","Reversa_1",2.4,5.6,33.9,18.1,16.4,0.9,NA,NA,7,0,0.852,NA,NA,60,11.697,0.195,NA,0.243,0.575,0,0,"Sal-CUMS-K"
"304","CSK_g2_1","entrenamiento_rev_1","Reversa_1",5.5,12.3,15.1,0.8,9.2,2.8,NA,NA,1,1,0.168,0.046,0.046,33.6,5.624,0.168,NA,0.301,0.489,0.25,0,"Sal-CUMS-K"
"305","CSK_g2_1","entrenamiento_rev_1","Reversa_1",10,4.4,4.8,1.3,2,7.7,NA,NA,0,2,NA,0.115,0.115,20.3,3.371,0.166,NA,0.481,0.305,0.5,0,"Sal-CUMS-K"
"306","CSK_g2_1","entrenamiento_rev_1","Reversa_1",3,2.4,2.9,3.3,1.7,2.7,NA,NA,0,1,NA,0.206,0.206,11.6,1.985,0.171,NA,0.446,0.433,0.75,0,"Sal-CUMS-K"
"307","CSK_g2_2","entrenamiento_rev_1","Reversa_1",4.2,6.8,31.6,17.4,7.6,1.2,NA,NA,1,0,0.044,NA,NA,60,15.36,0.256,NA,0.304,0.598,0,0,"Sal-CUMS-K"
"308","CSK_g2_2","entrenamiento_rev_1","Reversa_1",8.1,14.3,34.5,3.2,12.8,3.4,NA,NA,2,0,0.378,NA,NA,60,12.794,0.213,NA,0.307,0.572,0.25,0,"Sal-CUMS-K"
"309","CSK_g2_2","entrenamiento_rev_1","Reversa_1",8.8,5.1,33.8,12.3,10.8,2.1,NA,NA,2,0,0.231,NA,NA,60,10.872,0.181,NA,0.335,0.622,0.5,0,"Sal-CUMS-K"
"310","CSK_g2_2","entrenamiento_rev_1","Reversa_1",3,10.8,11.9,8.2,6.2,2.8,NA,NA,4,1,0.253,0.061,0.061,33.9,6.643,0.196,NA,0.4,0.499,0.75,0,"Sal-CUMS-K"
"311","CSK_g2_3","entrenamiento_rev_1","Reversa_1",0,1,22.3,36.7,6.5,0,NA,NA,1,0,0.042,NA,NA,60,14.262,0.238,NA,0.387,0.646,0,0,"Sal-CUMS-K"
"312","CSK_g2_3","entrenamiento_rev_1","Reversa_1",3.7,0,0,0,0,2.7,NA,NA,0,1,NA,0.981,0.981,3.7,0.35,0.095,NA,0.662,0.175,0.25,0,"Sal-CUMS-K"
"313","CSK_g2_3","entrenamiento_rev_1","Reversa_1",12.2,0.8,18.8,28.1,7.4,3.7,NA,NA,2,1,0.854,0.073,0.073,60,13.529,0.226,NA,0.415,0.538,0.5,0,"Sal-CUMS-K"
"314","CSK_g2_3","entrenamiento_rev_1","Reversa_1",3.3,0,0,4.4,0,2.8,NA,NA,0,1,NA,0.318,0.318,7.7,0.967,0.126,NA,0.559,0.25,0.75,0,"Sal-CUMS-K"
"315","CSK_g2_4","entrenamiento_rev_1","Reversa_1",0.9,23.4,27.4,8.3,8.6,0,NA,NA,3,0,0.316,NA,NA,60,10.959,0.183,NA,0.308,0.619,0,0,"Sal-CUMS-K"
"316","CSK_g2_4","entrenamiento_rev_1","Reversa_1",9.2,23.4,22.5,4.9,8.6,2.3,NA,NA,2,0,0.088,NA,NA,60,11.462,0.191,NA,0.418,0.57,0.25,0,"Sal-CUMS-K"
"317","CSK_g2_4","entrenamiento_rev_1","Reversa_1",3.8,5.3,3.7,0,0,3.6,NA,NA,0,2,NA,0.491,0.491,12.8,1.537,0.12,NA,0.443,0.539,0.5,0,"Sal-CUMS-K"
