"","id","stage","prueba","cuadrante_so","cuadrante_se","cuadrante_ne","cuadrante_no","zona_ne","zona_so","zona_blanco","cruces_blanco","cruces_ne","cruces_so","eficiencia_ne","eficiencia","eficiancia_so","latencia","distancia","velocidad","distancia_media_blanco","distancia_annulus_ne","distancia_annulus_so","tiempo","dia","tratamientos"
"677","cf4","ent_rev_1","Reversa_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1.637,0.232,NA,NA,NA,2.5,0,"Ctrl"
"678","cf1","ent_rev_1","Reversa_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.27,15.7,2.984,0.19,NA,NA,NA,0,0,"Ctrl"
"679","cf4","ent_rev_1","Reversa_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183,0.183,21.4,4.787,0.223,NA,NA,NA,0,0,"Ctrl"
"680","c1","prueba_2","P-2",11.8,13.7,23,11.5,10,5.9,10,4,4,NA,NA,NA,NA,NA,NA,NA,0.376,0.376,NA,NA,2,"Ctrl"
"681","c2","prueba_2","P-2",4.8,3.6,34.7,16.9,16.7,1.1,16.7,5,5,NA,NA,NA,NA,NA,NA,NA,0.261,0.261,NA,NA,2,"Ctrl"
"682","c3","prueba_2","P-2",11,14.7,22.5,11.8,14,4.3,14,2,2,NA,NA,NA,NA,NA,NA,NA,0.345,0.345,NA,NA,2,"Ctrl"
"683","c4","prueba_2","P-2",8.9,9,26.2,15.9,16.9,4.2,16.9,7,7,NA,NA,NA,NA,NA,NA,NA,0.306,0.306,NA,NA,2,"Ctrl"
"684","c1","prueba_1","P-1",10.4,6.7,20.3,22.6,5.3,2.5,5.3,0,0,NA,NA,NA,NA,NA,NA,NA,0.413,0.413,NA,NA,1,"Ctrl"
"685","c2","prueba_1","P-1",10.4,7.5,36.1,6,22.9,0.3,22.9,4,4,NA,NA,NA,NA,NA,NA,NA,0.283,0.283,NA,NA,1,"Ctrl"
"686","c3","prueba_1","P-1",5.9,23.4,30,0.7,22.1,0,22.1,6,6,NA,NA,NA,NA,NA,NA,NA,0.307,0.307,NA,NA,1,"Ctrl"
"687","c4","prueba_1","P-1",2.1,5.4,44.2,8.3,23.5,1,23.5,10,10,NA,NA,NA,NA,NA,NA,NA,0.203,0.203,NA,NA,1,"Ctrl"
"688","1a","entrenamiento_1","Entr_1",17,3.9,2.5,14.6,0.8,2.7,NA,NA,1,0,0.099,0.099,NA,37.9,7.813,0.206,NA,0.628,0.363,0,0,"Flx-CUMS"
"689","1a","entrenamiento_1","Entr_1",2.1,7.5,5,3.6,1.5,1.3,NA,NA,1,1,0.083,0.083,0.295,18.1,3.861,0.213,NA,0.416,0.509,0.25,0,"Flx-CUMS"
"690","1a","entrenamiento_1","Entr_1",11.5,11.4,8.7,0.7,4.2,6,NA,NA,1,1,0.109,0.109,0.071,32.3,6.674,0.207,NA,0.475,0.417,0.5,0,"Flx-CUMS"
"691","1a","entrenamiento_1","Entr_1",26.6,10.3,10.2,12.9,3.1,11.8,NA,NA,0,4,NA,NA,0.591,60,11.517,0.192,NA,0.529,0.336,0.75,0,"Flx-CUMS"
"692","3a","entrenamiento_1","Entr_1",7.1,10.6,12,2.9,5.1,5.6,NA,NA,1,1,0.043,0.043,0.167,32.5,7.394,0.227,NA,0.39,0.501,0,0,"Flx-CUMS"
"693","3a","entrenamiento_1","Entr_1",7.3,11.1,14.4,7.1,4.4,2,NA,NA,1,0,0.096,0.096,NA,39.9,8.315,0.208,NA,0.366,0.508,0.25,0,"Flx-CUMS"
"694","3a","entrenamiento_1","Entr_1",3.2,1.7,1,6.6,0.7,1.7,NA,NA,1,0,0.155,0.155,NA,12.5,2.412,0.193,NA,0.397,0.454,0.5,0,"Flx-CUMS"
"695","3a","entrenamiento_1","Entr_1",0,4.4,4.8,0.9,0.8,0,NA,NA,1,0,0.154,0.154,NA,10,1.646,0.164,NA,0.274,0.618,0.75,0,"Flx-CUMS"
"696","4a","entrenamiento_1","Entr_1",28.1,20.6,3.6,7.7,2.8,6.5,NA,NA,0,0,NA,NA,NA,60,12.244,0.204,NA,0.647,0.336,0,0,"Flx-CUMS"
"697","4a","entrenamiento_1","Entr_1",0,1.6,4.8,0,2,0,NA,NA,1,0,0.381,0.381,NA,6.5,0.939,0.145,NA,0.207,0.78,0.25,0,"Flx-CUMS"
"698","4a","entrenamiento_1","Entr_1",5.5,12.9,13.6,12.3,7.3,2.9,NA,NA,1,0,0.073,0.073,NA,44.3,8.541,0.193,NA,0.39,0.537,0.5,0,"Flx-CUMS"
"699","4a","entrenamiento_1","Entr_1",0,0,4.4,0,0.9,0,NA,NA,1,0,0.572,0.572,NA,4.4,0.537,0.121,NA,0.231,0.801,0.75,0,"Flx-CUMS"
"700","3b","entrenamiento_1","Entr_1",20.6,15.5,8.4,15.4,3.8,6.2,NA,NA,0,0,NA,NA,NA,60,14.258,0.238,NA,0.551,0.388,0,0,"Sal-CUMS-F"
"701","3b","entrenamiento_1","Entr_1",0,2,3.2,0,0.6,0,NA,NA,1,0,0.399,0.399,NA,5.3,1.082,0.206,NA,0.323,0.679,0.25,0,"Sal-CUMS-F"
"702","3b","entrenamiento_1","Entr_1",0,0,3.4,0,0.7,0,NA,NA,1,0,0.9,0.9,NA,3.4,0.37,0.109,NA,0.226,0.752,0.5,0,"Sal-CUMS-F"
"703","3b","entrenamiento_1","Entr_1",0,12.1,5.7,4,3.3,0,NA,NA,1,0,0.108,0.108,NA,21.8,4.255,0.195,NA,0.344,0.531,0.75,0,"Sal-CUMS-F"
"704","1-1","entrenamiento_1","Entr_1",25.1,17.5,8.9,8.5,2,8.7,NA,NA,0,2,NA,NA,0.012,60,13.17,0.22,NA,0.559,0.402,0,0,"Sal-CUMS-F"
"705","1-1","entrenamiento_1","Entr_1",2.4,5.9,4.7,4.1,1.7,1.3,NA,NA,1,0,0.089,0.089,NA,17.1,3.484,0.204,NA,0.403,0.496,0.25,0,"Sal-CUMS-F"
"706","1-1","entrenamiento_1","Entr_1",10.5,5.1,28.8,15.6,6.3,3.4,NA,NA,0,2,NA,NA,0.801,60,12.524,0.209,NA,0.387,0.568,0.5,0,"Sal-CUMS-F"
"707","1-1","entrenamiento_1","Entr_1",0,0,1.8,5.5,1,0,NA,NA,1,0,0.586,0.586,NA,7.2,0.753,0.104,NA,0.347,0.738,0.75,0,"Sal-CUMS-F"
"708","3-1","entrenamiento_1","Entr_1",20.1,14.7,8.2,17,2.2,7.1,NA,NA,0,1,NA,NA,0.037,60,13.367,0.223,NA,0.556,0.415,0,0,"Sal-CUMS-F"
"709","3-1","entrenamiento_1","Entr_1",2.1,14,19.5,12.7,6.8,0,NA,NA,1,0,0.034,0.034,NA,48.3,8.596,0.178,NA,0.342,0.528,0.25,0,"Sal-CUMS-F"
"710","3-1","entrenamiento_1","Entr_1",8.6,7.9,30.7,0,17.3,5.7,NA,NA,1,0,0.031,0.031,NA,47.2,7.832,0.166,NA,0.252,0.566,0.5,0,"Sal-CUMS-F"
"711","3-1","entrenamiento_1","Entr_1",0,1.4,8.8,0.6,5.1,0,NA,NA,1,0,0.251,0.251,NA,10.8,1.574,0.145,NA,0.159,0.633,0.75,0,"Sal-CUMS-F"
"712","4-1","entrenamiento_1","Entr_1",12.5,20.3,15.1,12,6.7,3.5,NA,NA,0,0,NA,NA,NA,60,12.954,0.216,NA,0.458,0.462,0,0,"Sal-CUMS-F"
"713","4-1","entrenamiento_1","Entr_1",0,1.5,10,2,4.9,0,NA,NA,1,0,0.089,0.089,NA,13.5,2.701,0.199,NA,0.174,0.65,0.25,0,"Sal-CUMS-F"
"714","4-1","entrenamiento_1","Entr_1",1.4,5.2,7.4,2.4,5.8,0,NA,NA,1,0,0.201,0.201,NA,16.4,3.662,0.224,NA,0.27,0.528,0.5,0,"Sal-CUMS-F"
"715","4-1","entrenamiento_1","Entr_1",0,0,2.3,0,0.8,0,NA,NA,1,0,0.922,0.922,NA,2.3,0.313,0.136,NA,0.191,0.81,0.75,0,"Sal-CUMS-F"
"716","1-2","entrenamiento_1","Entr_1",20.7,18.6,10.4,10.2,2.1,5.6,NA,NA,0,1,NA,NA,0.01,60,13.927,0.232,NA,0.568,0.454,0,0,"Flx-CUMS"
"717","1-2","entrenamiento_1","Entr_1",6.1,11,14,8.9,5.8,2.8,NA,NA,1,0,0.038,0.038,NA,39.9,8.749,0.219,NA,0.401,0.537,0.25,0,"Flx-CUMS"
"718","1-2","entrenamiento_1","Entr_1",0,1.5,4.5,0,2.3,0,NA,NA,1,0,0.227,0.227,NA,6,1.501,0.248,NA,0.184,0.728,0.5,0,"Flx-CUMS"
"719","1-2","entrenamiento_1","Entr_1",0.4,4.4,4.9,4.9,1.7,0,NA,NA,1,0,0.147,0.147,NA,14.6,2.775,0.19,NA,0.344,0.631,0.75,0,"Flx-CUMS"
"720","2-2","entrenamiento_1","Entr_1",2.9,0,1.9,2.2,1.4,0.4,NA,NA,1,0,0.515,0.515,NA,7,1.307,0.187,NA,0.445,0.406,0,0,"Flx-CUMS"
"721","2-2","entrenamiento_1","Entr_1",0,1.9,1.9,0,0.7,0,NA,NA,1,0,0.492,0.492,NA,3.8,0.721,0.19,NA,0.236,0.552,0.25,0,"Flx-CUMS"
"722","2-2","entrenamiento_1","Entr_1",9.4,15.5,18.4,16.6,4.2,2.3,NA,NA,0,0,NA,NA,NA,60,14.841,0.247,NA,0.436,0.492,0.5,0,"Flx-CUMS"
"723","2-2","entrenamiento_1","Entr_1",2.1,2.6,11,1,3.7,1.2,NA,NA,1,0,0.107,0.107,NA,16.7,3.237,0.193,NA,0.232,0.543,0.75,0,"Flx-CUMS"
"724","3-2","entrenamiento_1","Entr_1",4,3.9,0.7,1,0.5,1.6,NA,NA,1,1,0.426,0.426,0.514,9.6,1.947,0.204,NA,0.595,0.312,0,0,"Flx-CUMS"
"725","3-2","entrenamiento_1","Entr_1",0,2.4,4,0,1.9,0,NA,NA,1,0,0.472,0.472,NA,6.3,1.458,0.23,NA,0.295,0.591,0.25,0,"Flx-CUMS"
"726","3-2","entrenamiento_1","Entr_1",9.4,7.2,23.9,11.4,7,3.1,NA,NA,1,1,0.027,0.027,0.267,51.8,11.145,0.215,NA,0.378,0.557,0.5,0,"Flx-CUMS"
"727","3-2","entrenamiento_1","Entr_1",0,0,3.8,1.7,1,0,NA,NA,1,0,0.54,0.54,NA,5.5,0.733,0.133,NA,0.27,0.744,0.75,0,"Flx-CUMS"
"728","4-2","entrenamiento_1","Entr_1",19.8,9.4,7.7,23,3.1,6.4,NA,NA,0,1,NA,NA,0.023,60,13.928,0.232,NA,0.525,0.41,0,0,"Flx-CUMS"
"729","4-2","entrenamiento_1","Entr_1",10.7,8.1,23.2,12,7.6,2.6,NA,NA,1,0,0.031,0.031,NA,54,11.318,0.21,NA,0.393,0.525,0.25,0,"Flx-CUMS"
"730","4-2","entrenamiento_1","Entr_1",4.2,9.4,26.5,13.3,9.3,2.4,NA,NA,1,1,0.033,0.033,0.104,53.4,9.945,0.186,NA,0.311,0.577,0.5,0,"Flx-CUMS"
"731","4-2","entrenamiento_1","Entr_1",0,2.8,22.1,15.4,6,0,NA,NA,1,0,0.053,0.053,NA,40.3,6.464,0.16,NA,0.292,0.695,0.75,0,"Flx-CUMS"
"732","1a","entrenamiento_2","Entr_2",3.1,5.4,9.7,3.1,5,2.4,NA,NA,1,1,0.072,0.072,0.347,21.3,4.89,0.23,NA,0.284,0.518,1,1,"Flx-CUMS"
"733","1a","entrenamiento_2","Entr_2",3,0,1.2,4,0.6,1.9,NA,NA,1,0,0.215,0.215,NA,8.2,1.98,0.24,NA,0.4,0.398,1.25,1,"Flx-CUMS"
"734","1a","entrenamiento_2","Entr_2",0,0,1.6,0,0.7,0,NA,NA,1,0,0.963,0.963,NA,1.6,0.229,0.146,NA,0.138,0.687,1.5,1,"Flx-CUMS"
"735","1a","entrenamiento_2","Entr_2",5.9,9.6,11.3,0,7.9,3.2,NA,NA,1,2,0.105,0.105,0.188,26.7,6.08,0.227,NA,0.355,0.511,1.75,1,"Flx-CUMS"
"736","3a","entrenamiento_2","Entr_2",0,0,3,0,0.7,0,NA,NA,1,0,0.611,0.611,NA,3,0.333,0.11,NA,0.167,0.668,1,1,"Flx-CUMS"
"737","3a","entrenamiento_2","Entr_2",1.8,0,1.2,2.5,0.7,0.4,NA,NA,1,0,0.576,0.576,NA,5.5,1.366,0.247,NA,0.498,0.436,1.25,1,"Flx-CUMS"
"738","3a","entrenamiento_2","Entr_2",0,1.4,1,1,0.7,0,NA,NA,1,0,0.4,0.4,NA,3.4,0.818,0.241,NA,0.24,0.449,1.5,1,"Flx-CUMS"
"739","3a","entrenamiento_2","Entr_2",2.9,0,1.6,2,0.9,1.5,NA,NA,1,1,0.485,0.485,0.943,6.4,1.525,0.239,NA,0.453,0.386,1.75,1,"Flx-CUMS"
"740","4a","entrenamiento_2","Entr_2",0,0,1.8,0,0.6,0,NA,NA,1,0,0.89,0.89,NA,1.8,0.264,0.15,NA,0.17,0.647,1,1,"Flx-CUMS"
"741","4a","entrenamiento_2","Entr_2",16.5,12.3,16.5,14.7,5.4,3.1,NA,NA,0,1,NA,NA,0.067,60,16.257,0.271,NA,0.433,0.491,1.25,1,"Flx-CUMS"
"742","4a","entrenamiento_2","Entr_2",4.5,0,8.7,7.1,3,2.5,NA,NA,1,0,0.087,0.087,NA,20.3,4.116,0.203,NA,0.374,0.501,1.5,1,"Flx-CUMS"
"743","4a","entrenamiento_2","Entr_2",0,3,0.8,0,0.6,0,NA,NA,1,0,0.823,0.823,NA,3.8,0.789,0.206,NA,0.385,0.411,1.75,1,"Flx-CUMS"
"744","3b","entrenamiento_2","Entr_2",11,9.5,11.8,4.7,7.1,5.4,NA,NA,1,2,0.033,0.033,0.17,37,10.119,0.273,NA,0.384,0.387,1,1,"Sal-CUMS-F"
"745","3b","entrenamiento_2","Entr_2",0,2.9,2.6,2.5,1.9,0,NA,NA,1,0,0.3,0.3,NA,8.1,2.217,0.275,NA,0.329,0.504,1.25,1,"Sal-CUMS-F"
"746","3b","entrenamiento_2","Entr_2",0,0.9,2.2,0.2,0.6,0,NA,NA,1,0,0.259,0.259,NA,3.3,0.738,0.226,NA,0.188,0.467,1.5,1,"Sal-CUMS-F"
"747","3b","entrenamiento_2","Entr_2",5.4,2.6,13.1,2.1,6.6,1.9,NA,NA,1,0,0.137,0.137,NA,23.1,5.441,0.235,NA,0.318,0.524,1.75,1,"Sal-CUMS-F"
"748","1-1","entrenamiento_2","Entr_2",6.2,9.5,13.4,4.1,5.2,3.1,NA,NA,1,1,0.042,0.042,0.091,33.1,7.755,0.234,NA,0.393,0.52,1,1,"Sal-CUMS-F"
"749","1-1","entrenamiento_2","Entr_2",1.4,0,3.3,1.6,1.8,0,NA,NA,1,0,0.544,0.544,NA,6.2,1.31,0.21,NA,0.327,0.457,1.25,1,"Sal-CUMS-F"
"750","1-1","entrenamiento_2","Entr_2",3.6,1.6,12.3,4.3,7.6,2.3,NA,NA,1,1,0.044,0.044,0.399,21.8,3.964,0.182,NA,0.271,0.482,1.5,1,"Sal-CUMS-F"
"751","1-1","entrenamiento_2","Entr_2",5.4,2,4.9,0.2,4.4,1.9,NA,NA,1,0,0.363,0.363,NA,12.5,2.163,0.174,NA,0.42,0.384,1.75,1,"Sal-CUMS-F"
"752","3-1","entrenamiento_2","Entr_2",0,2,9.4,0,4,0,NA,NA,1,0,0.108,0.108,NA,11.5,2.701,0.235,NA,0.176,0.666,1,1,"Sal-CUMS-F"
"753","3-1","entrenamiento_2","Entr_2",0,0,0.9,2.5,0.7,0,NA,NA,1,0,0.784,0.784,NA,3.4,0.866,0.255,NA,0.393,0.468,1.25,1,"Sal-CUMS-F"
"754","3-1","entrenamiento_2","Entr_2",3.3,3,3.3,6.4,2,1.2,NA,NA,1,0,0.121,0.121,NA,16,3.938,0.247,NA,0.433,0.439,1.5,1,"Sal-CUMS-F"
"755","3-1","entrenamiento_2","Entr_2",1.8,0,2.9,0.7,1.2,1.1,NA,NA,1,0,0.555,0.555,NA,5.3,1.277,0.239,NA,0.304,0.46,1.75,1,"Sal-CUMS-F"
"756","4-1","entrenamiento_2","Entr_2",0,2.8,0.8,0,0.6,0,NA,NA,1,0,0.514,0.514,NA,3.6,0.754,0.209,NA,0.32,0.539,1,1,"Sal-CUMS-F"
"757","4-1","entrenamiento_2","Entr_2",12.6,16.6,16.6,6.4,7,5.6,NA,NA,1,2,0.058,0.058,0.995,52.3,13.287,0.254,NA,0.427,0.493,1.25,1,"Sal-CUMS-F"
"758","4-1","entrenamiento_2","Entr_2",2.5,5.5,4.2,2.2,1.6,1.2,NA,NA,1,1,0.118,0.118,0.811,14.4,3.319,0.23,NA,0.393,0.457,1.5,1,"Sal-CUMS-F"
"759","4-1","entrenamiento_2","Entr_2",0,1.8,1.1,0,0.9,0,NA,NA,1,0,0.888,0.888,NA,2.9,0.591,0.2,NA,0.291,0.422,1.75,1,"Sal-CUMS-F"
"760","1-2","entrenamiento_2","Entr_2",0,3.7,2.3,0,1.2,0,NA,NA,1,0,0.489,0.489,NA,6,0.643,0.107,NA,0.235,0.612,1,1,"Flx-CUMS"
"761","1-2","entrenamiento_2","Entr_2",2.5,0,4.2,1.8,3.4,0,NA,NA,1,0,0.624,0.624,NA,8.4,1.254,0.148,NA,0.334,0.455,1.25,1,"Flx-CUMS"
"762","1-2","entrenamiento_2","Entr_2",0.7,3.4,1.2,2.3,1,0,NA,NA,1,0,0.18,0.18,NA,7.6,1.827,0.242,NA,0.393,0.428,1.5,1,"Flx-CUMS"
"763","1-2","entrenamiento_2","Entr_2",1.7,2,1.7,0,1.4,0,NA,NA,1,0,0.759,0.759,NA,5.4,0.963,0.178,NA,0.38,0.375,1.75,1,"Flx-CUMS"
"764","2-2","entrenamiento_2","Entr_2",0,0,4.5,0,1.2,0,NA,NA,1,0,0.364,0.364,NA,4.5,0.924,0.205,NA,0.2,0.802,1,1,"Flx-CUMS"
"765","2-2","entrenamiento_2","Entr_2",3.1,0.3,0.8,0,0.4,2.1,NA,NA,1,0,0.76,0.76,NA,4.2,1.048,0.252,NA,0.533,0.207,1.25,1,"Flx-CUMS"
"766","2-2","entrenamiento_2","Entr_2",0,0,0.9,3.8,0.7,0,NA,NA,1,0,0.414,0.414,NA,4.7,0.975,0.206,NA,0.383,0.531,1.5,1,"Flx-CUMS"
"767","2-2","entrenamiento_2","Entr_2",0,1.7,0.7,0,0.5,0,NA,NA,1,0,0.999,0.999,NA,2.4,0.627,0.258,NA,0.375,0.382,1.75,1,"Flx-CUMS"
"768","3-2","entrenamiento_2","Entr_2",9.1,15.6,15.2,3.7,6.8,3.6,NA,NA,1,1,0.032,0.032,0.092,43.6,9.224,0.211,NA,0.44,0.526,1,1,"Flx-CUMS"
"769","3-2","entrenamiento_2","Entr_2",6,10.4,11.3,9.1,4.4,2.4,NA,NA,1,0,0.113,0.113,NA,36.8,6.963,0.189,NA,0.329,0.427,1.25,1,"Flx-CUMS"
"770","3-2","entrenamiento_2","Entr_2",0,0,4.2,2,1.2,0,NA,NA,1,0,0.444,0.444,NA,6.2,0.735,0.118,NA,0.253,0.714,1.5,1,"Flx-CUMS"
"771","3-2","entrenamiento_2","Entr_2",5.5,0,7.4,0.2,3.9,4.3,NA,NA,1,2,0.274,0.274,0.865,13.1,2.596,0.198,NA,0.34,0.416,1.75,1,"Flx-CUMS"
"772","4-2","entrenamiento_2","Entr_2",0,1.5,5.5,1.4,4,0,NA,NA,1,0,0.171,0.171,NA,8.5,1.99,0.235,NA,0.176,0.594,1,1,"Flx-CUMS"
"773","4-2","entrenamiento_2","Entr_2",5.2,0,1.7,1.4,1,3.9,NA,NA,1,1,0.327,0.327,0.511,8.3,1.893,0.229,NA,0.49,0.217,1.25,1,"Flx-CUMS"
"774","4-2","entrenamiento_2","Entr_2",1.5,6.5,9.5,7.7,4.1,0.7,NA,NA,1,0,0.038,0.038,NA,25.1,5.698,0.227,NA,0.331,0.532,1.5,1,"Flx-CUMS"
"775","4-2","entrenamiento_2","Entr_2",0,4.3,2.2,0,1.7,0,NA,NA,1,0,0.487,0.487,NA,6.5,1.28,0.198,NA,0.384,0.59,1.75,1,"Flx-CUMS"
"776","1a","entrenamiento_3","Entr_3",0.7,0,0.5,17,0,0.6,NA,NA,1,0,0.19,0.19,NA,18.1,1.477,0.081,NA,0.316,0.323,2,2,"Flx-CUMS"
"777","1a","entrenamiento_3","Entr_3",0,2.4,2.3,0,1.8,0,NA,NA,1,0,0.612,0.612,NA,4.7,1.085,0.23,NA,0.292,0.459,2.25,2,"Flx-CUMS"
"778","1a","entrenamiento_3","Entr_3",3.2,2.2,5.3,3.9,3.2,2.3,NA,NA,1,0,0.076,0.076,NA,14.7,3.245,0.221,NA,0.37,0.403,2.5,2,"Flx-CUMS"
"779","1a","entrenamiento_3","Entr_3",0,5.3,5.2,0.4,2.3,0,NA,NA,1,0,0.151,0.151,NA,10.9,2.475,0.226,NA,0.333,0.498,2.75,2,"Flx-CUMS"
"780","3a","entrenamiento_3","Entr_3",2.1,3.8,1.8,2.4,0.6,0,NA,NA,1,0,0.295,0.295,NA,10.1,2.256,0.223,NA,0.392,0.301,2,2,"Flx-CUMS"
"781","3a","entrenamiento_3","Entr_3",0,2,3.7,0,2.8,0,NA,NA,1,0,0.497,0.497,NA,5.7,1.203,0.211,NA,0.211,0.591,2.25,2,"Flx-CUMS"
"782","3a","entrenamiento_3","Entr_3",0,1.6,3.2,0,2.6,0,NA,NA,1,0,0.474,0.474,NA,4.8,0.824,0.173,NA,0.182,0.716,2.5,2,"Flx-CUMS"
"783","3a","entrenamiento_3","Entr_3",1,4.6,3.2,1.1,1.4,0,NA,NA,1,0,0.124,0.124,NA,9.8,2.15,0.219,NA,0.402,0.475,2.75,2,"Flx-CUMS"
"784","4a","entrenamiento_3","Entr_3",4.7,3.2,14.5,8.5,7.1,3,NA,NA,1,1,0.091,0.091,0.074,30.9,6.869,0.222,NA,0.304,0.481,2,2,"Flx-CUMS"
"785","4a","entrenamiento_3","Entr_3",1.4,0.6,1.8,0,1.5,0,NA,NA,1,0,0.721,0.721,NA,3.7,0.848,0.228,NA,0.303,0.383,2.25,2,"Flx-CUMS"
"786","4a","entrenamiento_3","Entr_3",0,0,7.9,1.3,2.8,0,NA,NA,1,0,0.182,0.182,NA,9.2,1.518,0.164,NA,0.19,0.707,2.5,2,"Flx-CUMS"
"787","4a","entrenamiento_3","Entr_3",0,0.4,3.3,1.7,2,0,NA,NA,1,0,0.345,0.345,NA,5.5,1.137,0.207,NA,0.208,0.599,2.75,2,"Flx-CUMS"
"788","3b","entrenamiento_3","Entr_3",4.2,9.2,5.5,1.8,2.8,2.6,NA,NA,1,0,0.103,0.103,NA,20.6,4.695,0.228,NA,0.374,0.45,2,2,"Sal-CUMS-F"
"789","3b","entrenamiento_3","Entr_3",3.9,3.4,5.9,4.4,3.2,2.2,NA,NA,1,0,0.169,0.169,NA,17.6,4.232,0.24,NA,0.369,0.402,2.25,2,"Sal-CUMS-F"
"790","3b","entrenamiento_3","Entr_3",2.7,3.8,14.8,0.8,8.1,1.4,NA,NA,1,0,0.062,0.062,NA,22.1,4.398,0.199,NA,0.267,0.567,2.5,2,"Sal-CUMS-F"
"791","3b","entrenamiento_3","Entr_3",0,0,5.1,2.5,4,0,NA,NA,1,0,0.218,0.218,NA,7.6,1.369,0.18,NA,0.159,0.609,2.75,2,"Sal-CUMS-F"
"792","1-1","entrenamiento_3","Entr_3",7.3,7.5,22.3,12.5,9.8,3.5,NA,NA,1,1,0.081,0.081,0.931,49.6,9.15,0.184,NA,0.341,0.526,2,2,"Sal-CUMS-F"
"793","1-1","entrenamiento_3","Entr_3",6,8.5,9.3,9.5,4.3,3.3,NA,NA,1,0,0.105,0.105,NA,33.3,6.343,0.19,NA,0.382,0.422,2.25,2,"Sal-CUMS-F"
"794","1-1","entrenamiento_3","Entr_3",6.9,2.7,9.8,8.5,4.6,1.6,NA,NA,1,1,0.056,0.056,0.179,28,5.204,0.186,NA,0.376,0.451,2.5,2,"Sal-CUMS-F"
"795","1-1","entrenamiento_3","Entr_3",0,0,2.1,0,1,0,NA,NA,1,0,0.905,0.905,NA,2.1,0.27,0.129,NA,0.126,0.626,2.75,2,"Sal-CUMS-F"
"796","3-1","entrenamiento_3","Entr_3",8.4,9.3,9.6,6.5,4.9,3.4,NA,NA,1,2,0.088,0.088,0.833,33.8,8.097,0.239,NA,0.435,0.476,2,2,"Sal-CUMS-F"
"797","3-1","entrenamiento_3","Entr_3",13.2,6.6,14.1,6,8.9,7.6,NA,NA,1,2,0.094,0.094,0.065,39.9,8.072,0.202,NA,0.376,0.409,2.25,2,"Sal-CUMS-F"
"798","3-1","entrenamiento_3","Entr_3",0,0,1.6,0,0.7,0,NA,NA,1,0,0.889,0.889,NA,1.6,0.26,0.16,NA,0.149,0.744,2.5,2,"Sal-CUMS-F"
"799","3-1","entrenamiento_3","Entr_3",3.5,3.4,2.5,3.3,0.8,1,NA,NA,1,0,0.107,0.107,NA,12.7,2.7,0.212,NA,0.509,0.436,2.75,2,"Sal-CUMS-F"
"800","4-1","entrenamiento_3","Entr_3",1.3,0,1.3,1.9,0.9,0,NA,NA,1,0,0.264,0.264,NA,4.5,2.574,0.567,NA,0.428,0.348,2,2,"Sal-CUMS-F"
"801","4-1","entrenamiento_3","Entr_3",0.7,4.2,3.6,0,2,0,NA,NA,1,0,0.307,0.307,NA,8.5,2.03,0.237,NA,0.3,0.492,2.25,2,"Sal-CUMS-F"
"802","4-1","entrenamiento_3","Entr_3",0.1,6.1,9.9,2.2,5.4,0,NA,NA,1,0,0.089,0.089,NA,18.3,3.788,0.207,NA,0.223,0.489,2.5,2,"Sal-CUMS-F"
"803","4-1","entrenamiento_3","Entr_3",0,0.3,6.2,1.4,3.1,0,NA,NA,1,0,0.172,0.172,NA,8,1.546,0.194,NA,0.166,0.602,2.75,2,"Sal-CUMS-F"
"804","1-2","entrenamiento_3","Entr_3",2.5,3.1,2.1,1.1,0.8,0.8,NA,NA,1,0,0.259,0.259,NA,8.8,2.093,0.239,NA,0.355,0.356,2,2,"Flx-CUMS"
"805","1-2","entrenamiento_3","Entr_3",4.3,0.7,2.6,0.3,2.1,1.1,NA,NA,1,0,0.443,0.443,NA,7.9,1.583,0.201,NA,0.435,0.323,2.25,2,"Flx-CUMS"
"806","1-2","entrenamiento_3","Entr_3",1.5,2.7,2.7,0.1,2.3,0.8,NA,NA,1,0,0.241,0.241,NA,7.1,1.482,0.209,NA,0.317,0.456,2.5,2,"Flx-CUMS"
"807","1-2","entrenamiento_3","Entr_3",0,0,1.9,0,0.7,0,NA,NA,1,0,0.963,0.963,NA,1.9,0.3,0.157,NA,0.184,0.723,2.75,2,"Flx-CUMS"
"808","2-2","entrenamiento_3","Entr_3",0,0,1,3.7,0.8,0,NA,NA,1,0,0.598,0.598,NA,4.7,1.046,0.223,NA,0.442,0.403,2,2,"Flx-CUMS"
"809","2-2","entrenamiento_3","Entr_3",0,4.9,1,0,0.8,0,NA,NA,1,0,0.467,0.467,NA,5.9,1.157,0.197,NA,0.393,0.456,2.25,2,"Flx-CUMS"
"810","2-2","entrenamiento_3","Entr_3",0,0,2.1,0,0,0,NA,NA,1,0,0.973,0.973,NA,2.1,0.263,0.124,NA,0.223,0.803,2.5,2,"Flx-CUMS"
"811","2-2","entrenamiento_3","Entr_3",0.3,1.3,1.5,1.8,1.2,0,NA,NA,1,0,0.324,0.324,NA,4.9,1.016,0.206,NA,0.245,0.45,2.75,2,"Flx-CUMS"
